Distribution of neutrino fluxes in the BP00 standard solar model model.

astro-ph/0010346

Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone

The integrated fluxes given in Table7 of BP00 are listed below:


 5.95E+00 1.400E-02 9.3E-07 4.77E-01 5.05E-04 5.48E-02 4.80E-02 5.63E-04

The Table begins here.
0.01565 15.610 2.004 1.894E-05 1.679E-11 1.180E-04 1.353E-03 1.075E-03 1.228E-03 1.274E-03 5.686E-04 1.842E-04 4.946E-05
0.01589 15.608 2.004 1.983E-05 1.677E-11 1.236E-04 1.412E-03 1.121E-03 1.281E-03 1.329E-03 5.945E-04 1.928E-04 5.185E-05
0.01614 15.605 2.004 2.077E-05 1.675E-11 1.294E-04 1.474E-03 1.170E-03 1.337E-03 1.387E-03 6.215E-04 2.019E-04 5.435E-05
0.01639 15.602 2.004 2.175E-05 1.673E-11 1.355E-04 1.538E-03 1.221E-03 1.395E-03 1.447E-03 6.497E-04 2.113E-04 5.698E-05
0.01665 15.599 2.004 2.277E-05 1.671E-11 1.419E-04 1.604E-03 1.273E-03 1.455E-03 1.510E-03 6.792E-04 2.212E-04 5.973E-05
0.01691 15.596 2.003 2.384E-05 1.668E-11 1.486E-04 1.674E-03 1.328E-03 1.517E-03 1.575E-03 7.099E-04 2.316E-04 6.261E-05
0.01717 15.593 2.003 2.497E-05 1.666E-11 1.557E-04 1.746E-03 1.385E-03 1.582E-03 1.643E-03 7.421E-04 2.425E-04 6.565E-05
0.01744 15.590 2.003 2.615E-05 1.664E-11 1.630E-04 1.821E-03 1.444E-03 1.649E-03 1.713E-03 7.756E-04 2.538E-04 6.883E-05
0.01771 15.586 2.003 2.738E-05 1.661E-11 1.707E-04 1.899E-03 1.505E-03 1.720E-03 1.786E-03 8.106E-04 2.657E-04 7.217E-05
0.01799 15.583 2.003 2.867E-05 1.659E-11 1.788E-04 1.980E-03 1.569E-03 1.793E-03 1.862E-03 8.471E-04 2.781E-04 7.567E-05
0.01827 15.580 2.002 3.002E-05 1.656E-11 1.873E-04 2.064E-03 1.635E-03 1.868E-03 1.941E-03 8.851E-04 2.911E-04 7.933E-05
0.01855 15.576 2.002 3.143E-05 1.653E-11 1.961E-04 2.151E-03 1.704E-03 1.947E-03 2.023E-03 9.249E-04 3.048E-04 8.319E-05
0.01884 15.572 2.002 3.291E-05 1.650E-11 2.054E-04 2.242E-03 1.775E-03 2.029E-03 2.108E-03 9.664E-04 3.190E-04 8.724E-05
0.01914 15.568 2.002 3.447E-05 1.647E-11 2.151E-04 2.336E-03 1.849E-03 2.113E-03 2.197E-03 1.010E-03 3.339E-04 9.148E-05
0.01944 15.564 2.001 3.609E-05 1.644E-11 2.253E-04 2.434E-03 1.926E-03 2.201E-03 2.289E-03 1.055E-03 3.495E-04 9.594E-05
0.01974 15.560 2.001 3.779E-05 1.641E-11 2.360E-04 2.536E-03 2.006E-03 2.292E-03 2.384E-03 1.102E-03 3.659E-04 1.006E-04
0.02005 15.556 2.001 3.957E-05 1.638E-11 2.471E-04 2.641E-03 2.089E-03 2.387E-03 2.483E-03 1.151E-03 3.829E-04 1.055E-04
0.02036 15.552 2.000 4.144E-05 1.635E-11 2.588E-04 2.750E-03 2.175E-03 2.485E-03 2.586E-03 1.202E-03 4.008E-04 1.107E-04
0.02068 15.547 2.000 4.339E-05 1.631E-11 2.711E-04 2.863E-03 2.264E-03 2.587E-03 2.692E-03 1.255E-03 4.195E-04 1.161E-04
0.02101 15.543 2.000 4.544E-05 1.628E-11 2.839E-04 2.981E-03 2.356E-03 2.692E-03 2.802E-03 1.311E-03 4.391E-04 1.218E-04
0.02134 15.538 1.999 4.758E-05 1.624E-11 2.973E-04 3.102E-03 2.452E-03 2.801E-03 2.916E-03 1.369E-03 4.596E-04 1.277E-04
0.02167 15.533 1.999 4.982E-05 1.620E-11 3.114E-04 3.228E-03 2.550E-03 2.914E-03 3.034E-03 1.429E-03 4.810E-04 1.340E-04
0.02201 15.528 1.999 5.217E-05 1.616E-11 3.261E-04 3.359E-03 2.652E-03 3.030E-03 3.156E-03 1.492E-03 5.034E-04 1.406E-04
0.02236 15.523 1.998 5.463E-05 1.612E-11 3.416E-04 3.493E-03 2.758E-03 3.151E-03 3.283E-03 1.557E-03 5.268E-04 1.475E-04
0.02271 15.517 1.998 5.720E-05 1.608E-11 3.577E-04 3.632E-03 2.868E-03 3.276E-03 3.414E-03 1.625E-03 5.513E-04 1.547E-04
0.02307 15.512 1.998 5.990E-05 1.604E-11 3.747E-04 3.777E-03 2.980E-03 3.405E-03 3.549E-03 1.696E-03 5.770E-04 1.624E-04
0.02343 15.506 1.997 6.272E-05 1.599E-11 3.924E-04 3.926E-03 3.097E-03 3.538E-03 3.689E-03 1.770E-03 6.038E-04 1.704E-04
0.02380 15.500 1.997 6.567E-05 1.595E-11 4.110E-04 4.080E-03 3.218E-03 3.676E-03 3.833E-03 1.847E-03 6.319E-04 1.788E-04
0.02417 15.494 1.996 6.877E-05 1.590E-11 4.304E-04 4.238E-03 3.341E-03 3.818E-03 3.982E-03 1.926E-03 6.612E-04 1.876E-04
0.02455 15.488 1.996 7.201E-05 1.585E-11 4.508E-04 4.402E-03 3.469E-03 3.965E-03 4.136E-03 2.009E-03 6.919E-04 1.969E-04
0.02494 15.481 1.996 7.540E-05 1.580E-11 4.721E-04 4.571E-03 3.602E-03 4.116E-03 4.294E-03 2.096E-03 7.240E-04 2.066E-04
0.02533 15.475 1.995 7.896E-05 1.575E-11 4.944E-04 4.745E-03 3.738E-03 4.271E-03 4.458E-03 2.185E-03 7.575E-04 2.169E-04
0.02573 15.468 1.995 8.268E-05 1.570E-11 5.178E-04 4.924E-03 3.879E-03 4.432E-03 4.626E-03 2.279E-03 7.926E-04 2.276E-04
