 Distribution of neutrino fluxes in the BS05(AGS,OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(AGS,OP) are given in the row below.
 
 6.058E+00 1.453E-02 8.254E-07 4.338E-01 4.508E-04 2.007E-02 1.445E-02 3.254E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
  cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
  [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.04426 14.875 1.969 2.268e-04 1.117e-11 1.436e-03 7.532e-03 4.892e-03 6.790e-03 7.138e-03 4.722e-03 2.058e-03 7.316e-04 
 0.04467 14.864 1.969 2.304e-04 1.109e-11 1.458e-03 7.529e-03 4.901e-03 6.801e-03 7.142e-03 4.758e-03 2.086e-03 7.447e-04 
 0.04508 14.854 1.968 2.341e-04 1.101e-11 1.480e-03 7.524e-03 4.908e-03 6.811e-03 7.145e-03 4.795e-03 2.114e-03 7.580e-04 
 0.04549 14.843 1.967 2.378e-04 1.094e-11 1.502e-03 7.517e-03 4.914e-03 6.819e-03 7.145e-03 4.830e-03 2.143e-03 7.715e-04 
 0.04590 14.833 1.966 2.415e-04 1.086e-11 1.524e-03 7.506e-03 4.917e-03 6.825e-03 7.143e-03 4.864e-03 2.170e-03 7.848e-04 
 0.04631 14.822 1.966 2.452e-04 1.078e-11 1.546e-03 7.494e-03 4.921e-03 6.829e-03 7.139e-03 4.897e-03 2.198e-03 7.985e-04 
 0.04672 14.811 1.965 2.490e-04 1.071e-11 1.568e-03 7.479e-03 4.922e-03 6.831e-03 7.133e-03 4.929e-03 2.226e-03 8.121e-04 
 0.04713 14.800 1.964 2.527e-04 1.063e-11 1.590e-03 7.462e-03 4.922e-03 6.830e-03 7.124e-03 4.960e-03 2.254e-03 8.258e-04 
 0.04754 14.789 1.963 2.565e-04 1.055e-11 1.612e-03 7.442e-03 4.920e-03 6.828e-03 7.114e-03 4.990e-03 2.281e-03 8.396e-04 
 0.04795 14.778 1.962 2.603e-04 1.048e-11 1.634e-03 7.421e-03 4.918e-03 6.825e-03 7.101e-03 5.020e-03 2.309e-03 8.536e-04 
 0.04836 14.767 1.962 2.641e-04 1.040e-11 1.656e-03 7.397e-03 4.913e-03 6.819e-03 7.087e-03 5.048e-03 2.336e-03 8.675e-04 
 0.04877 14.756 1.961 2.679e-04 1.032e-11 1.678e-03 7.371e-03 4.908e-03 6.811e-03 7.070e-03 5.074e-03 2.364e-03 8.816e-04 
 0.04918 14.744 1.960 2.717e-04 1.024e-11 1.700e-03 7.343e-03 4.901e-03 6.802e-03 7.052e-03 5.100e-03 2.391e-03 8.957e-04 
 0.04959 14.733 1.959 2.755e-04 1.016e-11 1.722e-03 7.312e-03 4.893e-03 6.791e-03 7.031e-03 5.125e-03 2.418e-03 9.099e-04 
