 Distribution of neutrino fluxes in the BS05(OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(OP) are given in the row below.
 
 5.991E+00 1.421E-02 7.930E-07 4.844E-01 5.691E-04 3.066E-02 2.331E-02 5.836E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.04672 14.984 1.965 2.520e-04 1.184e-11 1.563e-03 7.479e-03 5.208e-03 6.851e-03 7.150e-03 4.909e-03 2.234e-03 7.959e-04 
 0.04713 14.973 1.964 2.557e-04 1.176e-11 1.585e-03 7.463e-03 5.207e-03 6.850e-03 7.141e-03 4.941e-03 2.262e-03 8.096e-04 
 0.04754 14.961 1.963 2.595e-04 1.168e-11 1.607e-03 7.444e-03 5.205e-03 6.846e-03 7.130e-03 4.971e-03 2.290e-03 8.234e-04 
 0.04795 14.950 1.962 2.633e-04 1.160e-11 1.629e-03 7.423e-03 5.201e-03 6.841e-03 7.116e-03 5.001e-03 2.317e-03 8.373e-04 
 0.04836 14.938 1.961 2.672e-04 1.151e-11 1.651e-03 7.399e-03 5.195e-03 6.834e-03 7.101e-03 5.029e-03 2.345e-03 8.512e-04 
 0.04877 14.927 1.961 2.710e-04 1.143e-11 1.673e-03 7.374e-03 5.189e-03 6.825e-03 7.083e-03 5.056e-03 2.372e-03 8.652e-04 
 0.04918 14.915 1.960 2.749e-04 1.134e-11 1.695e-03 7.347e-03 5.181e-03 6.815e-03 7.064e-03 5.083e-03 2.400e-03 8.794e-04 
 0.04959 14.904 1.959 2.787e-04 1.126e-11 1.717e-03 7.317e-03 5.172e-03 6.803e-03 7.043e-03 5.108e-03 2.427e-03 8.936e-04 
 0.05000 14.892 1.958 2.826e-04 1.118e-11 1.740e-03 7.285e-03 5.161e-03 6.788e-03 7.020e-03 5.132e-03 2.454e-03 9.079e-04 
 0.05041 14.880 1.957 2.865e-04 1.109e-11 1.762e-03 7.251e-03 5.148e-03 6.772e-03 6.995e-03 5.156e-03 2.481e-03 9.223e-04 
 0.05082 14.868 1.957 2.904e-04 1.101e-11 1.784e-03 7.216e-03 5.135e-03 6.755e-03 6.968e-03 5.178e-03 2.508e-03 9.368e-04 
 0.05123 14.856 1.956 2.943e-04 1.092e-11 1.806e-03 7.178e-03 5.121e-03 6.736e-03 6.939e-03 5.199e-03 2.534e-03 9.512e-04 
 0.05164 14.844 1.955 2.982e-04 1.084e-11 1.828e-03 7.138e-03 5.104e-03 6.715e-03 6.909e-03 5.219e-03 2.561e-03 9.658e-04 
 0.05205 14.832 1.954 3.021e-04 1.075e-11 1.850e-03 7.097e-03 5.087e-03 6.692e-03 6.877e-03 5.238e-03 2.587e-03 9.805e-04 
 0.05246 14.820 1.953 3.061e-04 1.067e-11 1.872e-03 7.054e-03 5.069e-03 6.668e-03 6.843e-03 5.256e-03 2.613e-03 9.952e-04 
 0.05287 14.808 1.952 3.100e-04 1.058e-11 1.893e-03 7.009e-03 5.049e-03 6.642e-03 6.808e-03 5.272e-03 2.639e-03 1.010e-03 
 0.05328 14.796 1.951 3.140e-04 1.050e-11 1.915e-03 6.962e-03 5.028e-03 6.614e-03 6.771e-03 5.288e-03 2.664e-03 1.025e-03 
 0.05369 14.784 1.951 3.180e-04 1.041e-11 1.937e-03 6.914e-03 5.007e-03 6.586e-03 6.733e-03 5.303e-03 2.690e-03 1.040e-03 
 0.05410 14.771 1.950 3.220e-04 1.033e-11 1.959e-03 6.865e-03 4.984e-03 6.556e-03 6.693e-03 5.317e-03 2.715e-03 1.055e-03 
 0.05451 14.759 1.949 3.259e-04 1.024e-11 1.980e-03 6.813e-03 4.960e-03 6.524e-03 6.652e-03 5.329e-03 2.741e-03 1.070e-03 
 0.05492 14.746 1.948 3.299e-04 1.016e-11 2.002e-03 6.761e-03 4.935e-03 6.492e-03 6.609e-03 5.341e-03 2.765e-03 1.085e-03 
 0.05533 14.734 1.947 3.339e-04 1.007e-11 2.023e-03 6.706e-03 4.909e-03 6.457e-03 6.565e-03 5.351e-03 2.790e-03 1.100e-03 
 0.05574 14.721 1.946 3.379e-04 9.985e-12 2.045e-03 6.651e-03 4.881e-03 6.421e-03 6.519e-03 5.360e-03 2.814e-03 1.115e-03 
 0.05615 14.709 1.945 3.419e-04 9.899e-12 2.066e-03 6.594e-03 4.853e-03 6.384e-03 6.472e-03 5.368e-03 2.838e-03 1.130e-03 
 0.05656 14.696 1.944 3.460e-04 9.814e-12 2.088e-03 6.536e-03 4.824e-03 6.346e-03 6.425e-03 5.376e-03 2.863e-03 1.146e-03 
 0.05697 14.683 1.943 3.500e-04 9.729e-12 2.109e-03 6.477e-03 4.794e-03 6.307e-03 6.376e-03 5.382e-03 2.886e-03 1.161e-03 
 0.05738 14.670 1.943 3.541e-04 9.643e-12 2.130e-03 6.417e-03 4.764e-03 6.267e-03 6.326e-03 5.387e-03 2.910e-03 1.176e-03 
