# Distribution of neutrino fluxes in the B16(GS98) standard solar model model.
#
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass
# 5) Fraction of pp neutrinos produced in the zone
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2))

0.0225 15.434 1.993  8.00312991e-05  1.01421599e+00  1.56181711e+00  4.42369050e-01  4.47276798e+00  9.93538379e+00  6.33191505e+00  8.57875873e+00  9.26632663e+00  
0.0230 15.427 1.992  8.33278609e-05  1.05603064e+00  1.62448005e+00  4.61717393e-01  4.63561017e+00  1.02448087e+01  6.53191160e+00  8.84972474e+00  9.55562731e+00  
0.0235 15.419 1.992  8.69184223e-05  1.10156838e+00  1.69269396e+00  4.82807319e-01  4.81264301e+00  1.05808679e+01  6.74920670e+00  9.14412756e+00  9.86989322e+00  
0.0240 15.411 1.991  9.03533000e-05  1.14512539e+00  1.75767889e+00  5.03146942e-01  4.97875155e+00  1.08880415e+01  6.94845439e+00  9.41407909e+00  1.01574056e+01  
0.0245 15.404 1.991  9.40897589e-05  1.19249312e+00  1.82832290e+00  5.25286127e-01  5.15914375e+00  1.12214865e+01  7.16481570e+00  9.70721717e+00  1.04695619e+01  
0.0250 15.396 1.990  9.76523006e-05  1.23764103e+00  1.89536447e+00  5.46577326e-01  5.32753815e+00  1.15237520e+01  7.36167420e+00  9.97393223e+00  1.07528323e+01  
0.0255 15.388 1.990  1.01311343e-04  1.28400513e+00  1.96406970e+00  5.68531560e-01  5.49874656e+00  1.18270756e+01  7.55961062e+00  1.02421079e+01  1.10372876e+01  
0.0260 15.380 1.989  1.05257954e-04  1.33399225e+00  2.03810524e+00  5.92230118e-01  5.68295826e+00  1.21530728e+01  7.77246474e+00  1.05304951e+01  1.13431088e+01  
0.0265 15.371 1.988  1.09028173e-04  1.38172842e+00  2.10848119e+00  6.15070181e-01  5.85492609e+00  1.24475031e+01  7.96559834e+00  1.07921649e+01  1.16197190e+01  
0.0270 15.363 1.988  1.12916030e-04  1.43093315e+00  2.18087768e+00  6.38708899e-01  6.03050737e+00  1.27442876e+01  8.16068119e+00  1.10564753e+01  1.18987390e+01  
0.0275 15.354 1.987  1.16779207e-04  1.47979916e+00  2.25253070e+00  6.62344175e-01  6.20197009e+00  1.30269832e+01  8.34723453e+00  1.13092302e+01  1.21648781e+01  
0.0280 15.345 1.987  1.20865065e-04  1.53146264e+00  2.32820683e+00  6.87384128e-01  6.38237726e+00  1.33229576e+01  8.54277092e+00  1.15741566e+01  1.24436415e+01  
0.0285 15.336 1.986  1.25078033e-04  1.58470184e+00  2.40602992e+00  7.13295945e-01  6.56645108e+00  1.36208607e+01  8.74009203e+00  1.18415002e+01  1.27245280e+01  
0.0290 15.327 1.985  1.28923624e-04  1.63325785e+00  2.47649490e+00  7.37258811e-01  6.72820313e+00  1.38669312e+01  8.90468863e+00  1.20645083e+01  1.29572901e+01  
0.0295 15.318 1.985  1.33517300e-04  1.69125163e+00  2.56101411e+00  7.65650923e-01  6.92585844e+00  1.41812260e+01  9.11366767e+00  1.23476486e+01  1.32541427e+01  
0.0300 15.309 1.984  1.37169976e-04  1.73728666e+00  2.62716155e+00  7.88799950e-01  7.07149781e+00  1.43834400e+01  9.25117997e+00  1.25339616e+01  1.34465548e+01  
0.0305 15.299 1.983  1.41667915e-04  1.79398473e+00  2.70918158e+00  8.16956543e-01  7.25762189e+00  1.46624884e+01  9.43868611e+00  1.27880099e+01  1.37111521e+01  
0.0310 15.290 1.983  1.46041726e-04  1.84905400e+00  2.78845767e+00  8.44559305e-01  7.43391872e+00  1.49157572e+01  9.61026301e+00  1.30204770e+01  1.39520807e+01  
0.0315 15.280 1.982  1.50449603e-04  1.90450907e+00  2.86803251e+00  8.72522242e-01  7.60851504e+00  1.51598016e+01  9.77651868e+00  1.32457355e+01  1.41847537e+01  
0.0320 15.270 1.981  1.54840032e-04  1.95968025e+00  2.94689275e+00  9.00547308e-01  7.77874617e+00  1.53893831e+01  9.93408286e+00  1.34592176e+01  1.44042801e+01  
0.0325 15.260 1.981  1.59263363e-04  2.01521753e+00  3.02601289e+00  9.28926987e-01  7.94710992e+00  1.56095568e+01  1.00862232e+01  1.36653527e+01  1.46154060e+01  
